247,叫我第一名,122313,8.6
246,燕尾蝶,116868,8.6
245,枪火,116011,8.7
244,勇士,98077,8.9
243,迁徙的鸟,56890,9.1
242,荒岛余生,159395,8.5
241,2001太空漫游,115072,8.7
240,遗愿清单,155996,8.5
239,千钧一发,107186,8.7
238,英国病人,193501,8.5
237,我爱你,70465,9.0
236,黑鹰坠落,140635,8.6
235,荒野生存,145758,8.6
234,非常嫌疑犯,138644,8.6
233,国王的演讲,389012,8.3
232,海盗电台,181937,8.6
231,美国丽人,211689,8.5
230,血钻,160483,8.6
229,聚焦,151102,8.8
228,发条橙,210617,8.5
227,黄金三镖客,61199,9.1
226,卡萨布兰卡,142535,8.6
225,彗星来的那一夜,224669,8.4
224,碧海蓝天,115968,8.7
223,变脸,243849,8.4
222,E.T. 外星人,181394,8.5
221,勇闯夺命岛,162111,8.6
220,这个男人来自地球,213215,8.5
219,秒速5厘米,355905,8.3
218,末路狂花,121513,8.7
217,无耻混蛋,257273,8.5
216,爱在午夜降临前,139881,8.8
215,绿里奇迹,125304,8.7
214,城市之光,54656,9.2
213,疯狂的石头,378233,8.3
212,初恋这件小事,541816,8.3
211,终结者2：审判日,167082,8.6
210,东京物语,61838,9.2
209,源代码,464037,8.4
208,步履不停,109568,8.8
207,新龙门客栈,220955,8.5
206,再次出发之纽约遇见你,208213,8.5
205,小萝莉的猴神大叔,212996,8.5
204,海街日记,171392,8.7
203,梦之安魂曲,129157,8.7
202,青蛇,264495,8.5
201,惊魂记,101654,8.9
200,黑客帝国3：矩阵革命,187894,8.6
199,撞车,198066,8.6
198,谍影重重2,189092,8.6
197,地球上的星星,101671,8.9
196,牯岭街少年杀人事件,127783,8.8
195,追随,95270,8.9
194,谍影重重,227036,8.5
193,完美陌生人,258279,8.6
192,哪吒闹海,100581,8.9
191,战争之王,199128,8.6
190,一次别离,152086,8.7
189,魔女宅急便,234339,8.5
188,忠犬八公物语,77285,9.1
187,一个叫欧维的男人决定去死,156875,8.8
186,可可西里,151702,8.7
185,模仿游戏,305955,8.6
184,恐怖游轮,389930,8.4
183,房间,192332,8.8
182,朗读者,308146,8.5
181,阿飞正传,251027,8.5
180,香水,320669,8.4
179,无敌破坏王,245027,8.7
178,浪潮,154493,8.7
177,你的名字。,604583,8.4
176,罗生门,151521,8.7
175,未麻的部屋,121385,8.9
174,爆裂鼓手,281450,8.6
173,被解救的姜戈,305389,8.6
172,头脑特工队,283810,8.7
171,人工智能,225015,8.6
170,猜火车,280775,8.5
169,我是山姆,127374,8.8
168,冰川时代,325788,8.5
167,穿越时空的少女,216345,8.6
166,魂断蓝桥,148196,8.8
165,雨中曲,108189,9.0
164,二十二,135602,8.7
163,燃情岁月,167258,8.7
162,血战钢锯岭,394705,8.7
161,恋恋笔记本,336570,8.5
160,达拉斯买家俱乐部,226400,8.7
159,花样年华,293153,8.6
158,完美的世界,100379,9.0
157,玩具总动员3,229206,8.8
156,虎口脱险,123890,8.9
155,教父3,160044,8.8
154,时空恋旅人,251439,8.7
153,海边的曼彻斯特,250810,8.6
152,无人知晓,96208,9.1
151,纵横四海,186207,8.7
150,海洋,108112,9.0
149,荒蛮故事,183511,8.8
148,傲慢与偏见,365765,8.5
147,卢旺达饭店,143330,8.9
146,心迷宫,228841,8.7
145,雨人,238271,8.7
144,蝙蝠侠：黑暗骑士崛起,352360,8.6
143,唐伯虎点秋香,431634,8.5
142,超能陆战队,463217,8.6
141,英雄本色,220787,8.6
140,真爱至上,364358,8.5
139,黑天鹅,487244,8.5
138,记忆碎片,329687,8.6
137,萤火之森,205545,8.8
136,贫民窟的百万富翁,448919,8.5
135,疯狂原始人,443057,8.7
134,喜宴,168851,8.8
133,东邪西毒,307968,8.6
132,7号房的礼物,222799,8.7
131,电锯惊魂,238519,8.7
130,谍影重重3,218653,8.7
129,萤火虫之墓,239585,8.7
128,怪兽电力公司,302790,8.6
127,小森林 冬春篇,155635,9.0
126,岁月神偷,353966,8.6
125,哈利·波特与死亡圣器(下),340692,8.7
124,七武士,94780,9.2
123,请以你的名字呼唤我,244360,8.8
122,借东西的小人阿莉埃蒂,261996,8.7
121,杀人回忆,253618,8.7
120,神偷奶爸,475359,8.5
119,幸福终点站,268965,8.7
118,驯龙高手,352503,8.7
117,菊次郎的夏天,232850,8.8
116,红辣椒,171093,8.9
115,爱在日落黄昏时,240587,8.8
114,超脱,217452,8.8
113,风之谷,211884,8.8
112,恐怖直播,288718,8.7
111,倩女幽魂,328034,8.6
110,侧耳倾听,212437,8.8
109,小森林 夏秋篇,179498,8.9
108,喜剧之王,403856,8.6
107,寻梦环游记,614716,9.0
106,上帝之城,180782,8.9
105,爱在黎明破晓前,272666,8.7
104,消失的爱人,443554,8.7
103,阳光姐妹淘,327010,8.8
102,甜蜜蜜,272426,8.8
101,射雕英雄传之东成西就,331866,8.7
100,一一,185800,9.0
99,告白,411945,8.7
98,大鱼,304137,8.7
97,摩登时代,118122,9.2
96,阿凡达,650819,8.6
95,加勒比海盗,434475,8.6
94,断背山,389956,8.7
93,致命ID,392429,8.7
92,穿条纹睡衣的男孩,199015,9.0
91,狩猎,168498,9.1
90,重庆森林,406210,8.7
89,第六感,284912,8.8
88,幽灵公主,286239,8.8
87,阳光灿烂的日子,333138,8.8
86,玛丽和马克思,264764,8.9
85,禁闭岛,450893,8.7
84,布达佩斯大饭店,410542,8.8
83,猫鼠游戏,309696,8.8
82,入殓师,365241,8.8
81,心灵捕手,340601,8.8
80,春光乍泄,308976,8.9
79,蝴蝶效应,468786,8.7
78,哈利·波特与魔法石,361880,8.8
77,沉默的羔羊,426540,8.8
76,剪刀手爱德华,589517,8.7
75,大闹天宫,140854,9.3
74,勇敢的心,347241,8.8
73,低俗小说,418204,8.8
72,音乐之声,285663,8.9
71,天使爱美丽,579032,8.7
70,看不见的客人,485331,8.7
69,拯救大兵瑞恩,306768,8.9
68,让子弹飞,793681,8.7
67,黑客帝国,358593,8.9
66,西西里的美丽传说,453620,8.8
65,致命魔术,426339,8.8
64,本杰明·巴顿奇事,486408,8.8
63,被嫌弃的松子的一生,376402,8.9
62,七宗罪,521283,8.8
61,小鞋子,181284,9.2
60,美国往事,215034,9.1
59,末代皇帝,255154,9.1
58,钢琴家,249818,9.1
57,狮子王,359988,8.9
56,素媛,248807,9.1
55,情书,468715,8.8
54,饮食男女,262254,9.1
53,美丽心灵,378486,8.9
52,指环王1：魔戒再现,381565,8.9
51,指环王2：双塔奇兵,340816,9.0
50,教父2,242132,9.1
49,海豚湾,218235,9.3
48,V字仇杀队,537767,8.8
47,死亡诗社,355152,9.0
46,飞越疯人院,331684,9.0
45,两杆大烟枪,327263,9.1
44,闻香识女人,414509,9.0
43,辩护人,287184,9.2
42,哈尔的移动城堡,460445,8.9
41,窃听风暴,289569,9.1
